Marca temporal,¿Considera relevante la inclusión de un método de autentificación de usuario al acceder a SERA?,¿Qué funciones considera relevante en la gestión de usuarios de tipo estudiante?,¿Qué funciones considera relevante en la gestión de usuarios de tipo docente?,¿Qué funciones considera relevante en la gestión de usuarios de tipo psicopedagogo?,¿Considera adecuada la generación de reportes referentes al rendimiento del estudiante?,¿Considera adecuada la generación de resportes referentes al rendimiento del docente?,¿Qué funcionalidades debería incluir el sistema SERA?,¿Cuánto tiempo considera pertinente para la actualización del sistema? Especifique en minutos u horas,¿En qué sistemas operativos debería poder ejecutarse SERA?,¿En qué navegadores debería poder ejecutarse SERA?,¿En qué dispositivos debería poder ejecutarse el sistema SERA?,¿Considera relevante el aspecto seguridad en el software SERA?,¿Con qué frecuencia deberían generarse los reportes?,¿Qué otros aspectos considera importantes en una aplicación o programa?
28/05/2023 20:27:04,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar sugerencias destinadas al docente en base a su rendimiento",5 min,"Windows, iOS","Google Chrome, Microsoft Edge","Computadora, Tablet, Celular",Sí,Semanalmente,Que no ocupe mucho espacio de almacenamiento
28/05/2023 20:27:36,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente",Mostrar datos del docente registrado anteriormente,"Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente",Tal vez,Sí,"Gestionar información del docente, Enviar correos automáticos con la información de reportes",Una hora aprox,"Windows, Android",Opera,"Computadora, Celular",Sí,Semanalmente,"Consideren el inicio a la aplicación en un dispositivo a la vez, como la hace el SUM "
28/05/2023 20:28:05,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",100 horas ,"Windows, macOS, Android, iOS","Google Chrome, Mozilla Firefox, Opera","Computadora, Tablet, Celular",Sí,Semanalmente,Interfaz de fácil manejo y entendible para el usuario
28/05/2023 20:29:03,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Tal vez,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones",1 hora,"Windows, Linux","Google Chrome, Microsoft Edge",Computadora,Sí,Semanalmente,Que no tenga bugs
28/05/2023 20:31:38,Sí,"Modificar datos de un estudiante registrado anteriormente, Mostrar datos del estudiante registrado anteriormente","Modificar datos de un docente registrado anteriormente, Mostrar datos del docente registrado anteriormente",Modificar datos de un psicopedagogo registrado anteriormente,Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo",1 minuto,Windows,"Google Chrome, Microsoft Edge",Computadora,Sí,Diariamente,Adaptacion a diversos sistemas operativos
28/05/2023 20:32:01,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",10,"Windows, Android","Google Chrome, Opera","Computadora, Celular",Sí,Semanalmente,Su interfaz
28/05/2023 20:32:22,Sí,Modificar datos de un estudiante registrado anteriormente,Mostrar datos del docente registrado anteriormente,Mostrar datos del psicopedagogo registrado anteriormente,Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",5 min.,"Windows, macOS, Android, iOS",Google Chrome,Celular,Sí,Semanalmente,Actualizaciones constantes 
28/05/2023 20:32:24,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Gestionar información del psicopedagogo, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente",1 hora,"Windows, Android","Google Chrome, Microsoft Edge, Brave","Computadora, Celular",Sí,Mensualmente,Interfaz llamativa 
28/05/2023 20:32:26,Sí,"Agregar nuevo estudiante, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Enviar correos automáticos con la información de reportes, Generar reportes sobre el rendimiento del estudiante",10 min,"Windows, macOS, Android, iOS",Google Chrome,"Computadora, Tablet, Celular",Sí,Mensualmente,Que pueda haber interacción entre usuarios
28/05/2023 20:32:45,Sí,"Agregar nuevo estudiante, Modificar datos de un estudiante registrado anteriormente, Eliminar estudiante del sistema, Mostrar datos del estudiante registrado anteriormente","Agregar nuevo docente, Modificar datos de un docente registrado anteriormente, Eliminar docente del sistema, Mostrar datos del docente registrado anteriormente","Agregar nuevo psicopedagogo, Modificar datos de un psicopedagogo registrado anteriormente, Eliminar psicopedagogo del sistema, Mostrar datos del psicopedagogo registrado anteriormente",Sí,Sí,"Gestionar información del estudiante, Gestionar información del docente, Registrar notas del estudiante por asignatura, Promediar notas por asignatura, Promediar notas por grado, Mostrar historial de calificaciones, Elaborar gráfico historial académico, Detectar problemas que influyen sobre el rendimiento del estudiante en base a la data disponible, Generar sugerencias ante problemas detectados, Generar reportes sobre el rendimiento del estudiante, Generar reportes sobre el rendimiento del docente, Generar sugerencias destinadas al docente en base a su rendimiento",10 minutos ,"Windows, macOS, Android, iOS","Google Chrome, Mozilla Firefox, Microsoft Edge, Safari","Computadora, Tablet, Celular",Sí,En el momento en que se solicite,Considero que con los propuestos está completa 
