,sex,age,address,famsize,Pstatus,Medu,Fedu,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,Promedio,M__at_home,M__nurse,M__otherMomJob,M__services,M__teacher,F__at_home,F__health,F__otherFatherJob,F__services,F__teacher,G__father,G__mother,G__otherGuardian
0,1,18,0,1,1,4,4,2,2,0,1,0,0,0,1,1,0,0,4,3,4,1,1,3,6,5.666666667,1,0,0,0,0,0,0,0,0,1,0,1,0
1,1,17,0,1,0,1,1,1,2,0,0,1,0,0,0,1,1,0,5,3,3,1,1,3,4,5.333333333,1,0,0,0,0,0,0,1,0,0,1,0,0
2,1,15,0,0,0,1,1,1,2,3,1,0,1,0,1,1,1,0,4,3,2,2,3,3,10,8.333333333,1,0,0,0,0,0,0,1,0,0,0,1,0
3,1,15,0,1,0,4,2,1,3,0,0,1,1,1,1,1,1,1,3,2,2,1,1,5,2,14.66666667,0,1,0,0,0,0,0,0,1,0,0,1,0
4,1,16,0,1,0,3,3,1,2,0,0,1,1,0,1,1,0,0,4,3,2,1,2,5,4,8.666666667,0,0,1,0,0,0,0,1,0,0,1,0,0
5,0,16,0,0,0,4,3,1,2,0,0,1,1,1,1,1,1,0,5,4,2,1,2,5,10,15.0,0,0,0,1,0,0,0,1,0,0,0,1,0
6,0,16,0,0,0,2,2,1,2,0,0,0,0,0,1,1,1,0,4,4,4,1,1,3,0,11.66666667,0,0,1,0,0,0,0,1,0,0,0,1,0
7,1,17,0,1,1,4,4,2,2,0,1,1,0,0,1,1,0,0,4,1,4,1,1,1,6,5.666666667,0,0,1,0,0,0,0,0,0,1,0,1,0
8,0,15,0,0,1,3,2,1,2,0,0,1,1,0,1,1,1,0,4,2,2,1,1,1,0,17.66666667,0,0,0,1,0,0,0,1,0,0,0,1,0
9,0,15,0,1,0,3,4,1,2,0,0,1,1,1,1,1,1,0,5,5,1,1,1,5,0,14.66666667,0,0,1,0,0,0,0,1,0,0,0,1,0
10,1,15,0,1,0,4,4,1,2,0,0,1,1,0,1,1,1,0,3,3,3,1,2,2,0,9.0,0,0,0,0,1,0,1,0,0,0,0,1,0
11,1,15,0,1,0,2,1,3,3,0,0,1,0,1,1,1,1,0,5,2,2,1,1,4,4,11.33333333,0,0,0,1,0,0,0,1,0,0,1,0,0
12,0,15,0,0,0,4,4,1,1,0,0,1,1,1,1,1,1,0,4,3,3,1,3,5,2,14.0,0,1,0,0,0,0,0,0,1,0,1,0,0
